id;start_date;end_date;language
1;2019-11-04T19:43:56;2019-11-05T00:20:34;ENGLISH
2;2019-11-04T13:11:55;2019-11-05T01:57:35;SPANISH
3;2019-11-04T17:56:53;2019-11-04T12:38:21;FRENCH
4;2019-11-04T20:16:42;2019-11-05T05:12:12;ENGLISH
5;2019-11-05T02:32:28;2019-11-04T12:09:38;SPANISH
6;2019-11-05T03:33:46;2019-11-05T04:08:44;FRENCH
7;2019-11-04T22:52:29;2019-11-04T09:49:04;ENGLISH
8;2019-11-04T18:33:00;2019-11-04T10:58:58;SPANISH
9;2019-11-04T14:45:15;2019-11-04T20:47:04;SPANISH
10;2019-11-04T15:06:23;2019-11-04T09:04:07;FRENCH
